"filename", "language", "Go", "Shell Script", "TOML", "Ini", "XML", "YAML", "Docker", "Markdown", "comment", "blank", "total"
"c:\Boxs\Tmp\pcl\snnsAdmin\Readme.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 207, 0, 61, 268
"c:\Boxs\Tmp\pcl\snnsAdmin\assets\locale\en-US\default.ini", "Ini", 0, 0, 0, 11, 0, 0, 0, 0, 0, 1, 12
"c:\Boxs\Tmp\pcl\snnsAdmin\assets\locale\en-US\validator.ini", "Ini", 0, 0, 0, 13, 0, 0, 0, 0, 0, 2, 15
"c:\Boxs\Tmp\pcl\snnsAdmin\assets\locale\zh-CN\default.ini", "Ini", 0, 0, 0, 10, 0, 0, 0, 0, 0, 1, 11
"c:\Boxs\Tmp\pcl\snnsAdmin\assets\locale\zh-CN\validator.ini", "Ini", 0, 0, 0, 13, 0, 0, 0, 0, 0, 2, 15
"c:\Boxs\Tmp\pcl\snnsAdmin\cmd\docker-compose\docker-compose.yaml", "YAML", 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 24
"c:\Boxs\Tmp\pcl\snnsAdmin\cmd\docker\Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 17, 0, 0, 6, 23
"c:\Boxs\Tmp\pcl\snnsAdmin\cmd\docker\build.sh", "Shell Script", 0, 8, 0, 0, 0, 0, 0, 0, 1, 3, 12
"c:\Boxs\Tmp\pcl\snnsAdmin\conf.toml", "TOML", 0, 0, 8, 0, 0, 0, 0, 0, 0, 4, 12
"c:\Boxs\Tmp\pcl\snnsAdmin\conf\conf.go", "Go", 41, 0, 0, 0, 0, 0, 0, 0, 14, 7, 62
"c:\Boxs\Tmp\pcl\snnsAdmin\controller\v1\common\error_code.go", "Go", 9, 0, 0, 0, 0, 0, 0, 0, 0, 4, 13
"c:\Boxs\Tmp\pcl\snnsAdmin\controller\v1\common\main.go", "Go", 57, 0, 0, 0, 0, 0, 0, 0, 4, 10, 71
"c:\Boxs\Tmp\pcl\snnsAdmin\controller\v1\monitor\gethostcpu.go", "Go", 17, 0, 0, 0, 0, 0, 0, 0, 4, 8, 29
"c:\Boxs\Tmp\pcl\snnsAdmin\controller\v1\monitor\gethostmem.go", "Go", 17, 0, 0, 0, 0, 0, 0, 0, 4, 8, 29
"c:\Boxs\Tmp\pcl\snnsAdmin\controller\v1\monitor\getmonitordata.go", "Go", 20, 0, 0, 0, 0, 0, 0, 0, 4, 8, 32
"c:\Boxs\Tmp\pcl\snnsAdmin\controller\v1\node\insertnode.go", "Go", 32, 0, 0, 0, 0, 0, 0, 0, 5, 7, 44
"c:\Boxs\Tmp\pcl\snnsAdmin\controller\v1\node\selectnode.go", "Go", 21, 0, 0, 0, 0, 0, 0, 0, 12, 9, 42
"c:\Boxs\Tmp\pcl\snnsAdmin\controller\v1\node\updatenode.go", "Go", 26, 0, 0, 0, 0, 0, 0, 0, 4, 9, 39
"c:\Boxs\Tmp\pcl\snnsAdmin\controller\v1\task\inserttask.go", "Go", 32, 0, 0, 0, 0, 0, 0, 0, 5, 7, 44
"c:\Boxs\Tmp\pcl\snnsAdmin\controller\v1\task\selecttask.go", "Go", 21, 0, 0, 0, 0, 0, 0, 0, 4, 6, 31
"c:\Boxs\Tmp\pcl\snnsAdmin\controller\v1\user\login.go", "Go", 33, 0, 0, 0, 0, 0, 0, 0, 3, 7, 43
"c:\Boxs\Tmp\pcl\snnsAdmin\controller\v1\user\logout.go", "Go", 12, 0, 0, 0, 0, 0, 0, 0, 3, 6, 21
"c:\Boxs\Tmp\pcl\snnsAdmin\controller\v1\user\register.go", "Go", 61, 0, 0, 0, 0, 0, 0, 0, 4, 11, 76
"c:\Boxs\Tmp\pcl\snnsAdmin\controller\v1\user\selectuser.go", "Go", 21, 0, 0, 0, 0, 0, 0, 0, 4, 6, 31
"c:\Boxs\Tmp\pcl\snnsAdmin\db\initinflux.go", "Go", 65, 0, 0, 0, 0, 0, 0, 0, 4, 10, 79
"c:\Boxs\Tmp\pcl\snnsAdmin\db\initmgo.go", "Go", 25, 0, 0, 0, 0, 0, 0, 0, 5, 10, 40
"c:\Boxs\Tmp\pcl\snnsAdmin\go.mod", "XML", 0, 0, 0, 0, 24, 0, 0, 0, 0, 3, 27
"c:\Boxs\Tmp\pcl\snnsAdmin\main.go", "Go", 53, 0, 0, 0, 0, 0, 0, 0, 34, 13, 100
"c:\Boxs\Tmp\pcl\snnsAdmin\repository\common.go", "Go", 37, 0, 0, 0, 0, 0, 0, 0, 13, 9, 59
"c:\Boxs\Tmp\pcl\snnsAdmin\repository\cpu.go", "Go", 29, 0, 0, 0, 0, 0, 0, 0, 4, 6, 39
"c:\Boxs\Tmp\pcl\snnsAdmin\repository\mem.go", "Go", 29, 0, 0, 0, 0, 0, 0, 0, 4, 6, 39
"c:\Boxs\Tmp\pcl\snnsAdmin\repository\monitordata.go", "Go", 43, 0, 0, 0, 0, 0, 0, 0, 8, 10, 61
"c:\Boxs\Tmp\pcl\snnsAdmin\repository\node.go", "Go", 45, 0, 0, 0, 0, 0, 0, 0, 13, 11, 69
"c:\Boxs\Tmp\pcl\snnsAdmin\repository\task.go", "Go", 33, 0, 0, 0, 0, 0, 0, 0, 8, 9, 50
"c:\Boxs\Tmp\pcl\snnsAdmin\repository\user.go", "Go", 60, 0, 0, 0, 0, 0, 0, 0, 13, 13, 86
"c:\Boxs\Tmp\pcl\snnsAdmin\route\route.go", "Go", 37, 0, 0, 0, 0, 0, 0, 0, 1, 4, 42
"c:\Boxs\Tmp\pcl\snnsAdmin\service\common.go", "Go", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Boxs\Tmp\pcl\snnsAdmin\service\cpu.go", "Go", 7, 0, 0, 0, 0, 0, 0, 0, 1, 3, 11
"c:\Boxs\Tmp\pcl\snnsAdmin\service\mem.go", "Go", 7, 0, 0, 0, 0, 0, 0, 0, 1, 3, 11
"c:\Boxs\Tmp\pcl\snnsAdmin\service\node.go", "Go", 14, 0, 0, 0, 0, 0, 0, 0, 4, 5, 23
"c:\Boxs\Tmp\pcl\snnsAdmin\service\session.go", "Go", 15, 0, 0, 0, 0, 0, 0, 0, 2, 5, 22
"c:\Boxs\Tmp\pcl\snnsAdmin\service\task.go", "Go", 7, 0, 0, 0, 0, 0, 0, 0, 1, 3, 11
"c:\Boxs\Tmp\pcl\snnsAdmin\service\user.go", "Go", 26, 0, 0, 0, 0, 0, 0, 0, 6, 8, 40
"c:\Boxs\Tmp\pcl\snnsAdmin\session\init.go", "Go", 27, 0, 0, 0, 0, 0, 0, 0, 2, 7, 36
"c:\Boxs\Tmp\pcl\snnsAdmin\util\i18n\init.go", "Go", 10, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14
"c:\Boxs\Tmp\pcl\snnsAdmin\util\log\logger.go", "Go", 5, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8
"c:\Boxs\Tmp\pcl\snnsAdmin\util\validator\init.go", "Go", 12, 0, 0, 0, 0, 0, 0, 0, 1, 4, 17
"c:\Boxs\Tmp\pcl\snnsAdmin\util\validator\regex.go", "Go", 14, 0, 0, 0, 0, 0, 0, 0, 0, 6, 20
"Total", "-", 1021, 8, 8, 47, 24, 24, 17, 207, 200, 349, 1905
